KmlID,LONGITUDE,LATITUDE,MYID,SBBMNUM,newKmlID,newLONGITUDE,newLATITUDE
1740.0,104.7677448,31.4934543,,0.0,1740.0,104.7677448,31.4934543
1741.0,104.705135,31.4935657,220.0,6.0,1741.0,104.7051823,31.4937412
1742.0,104.6651291,31.4935821,,0.0,1742.0,104.6651291,31.4935821
1743.0,104.6798374,31.4937386,,0.0,1747.0,104.6797427,31.4938334
1744.0,104.7520667,31.4937604,457.0,1.0,1744.0,104.7520248,31.4938527
1745.0,104.7707107,31.4938029,,0.0,1745.0,104.7707107,31.4938029
1746.0,104.7106421,31.4938682,,0.0,1746.0,104.7106421,31.4938682
1747.0,104.6796479,31.4939282,,0.0,1747.0,104.6797427,31.4938334
1748.0,104.7519828,31.4939449,,0.0,1744.0,104.7520248,31.4938527
1749.0,104.7052784,31.4940163,,0.0,1741.0,104.7051823,31.4937412
1750.0,104.6256754,31.4940812,,0.0,1750.0,104.6256754,31.4940812
1751.0,104.7465882,31.4941532,826.0,1.0,1751.0,104.7465882,31.4941532
1752.0,104.6754461,31.4942686,,0.0,1757.0,104.6754932,31.4943507
1753.0,104.7029034,31.4943162,228.0,0.0,1762.0,104.7029,31.4945282
1754.0,104.7027957,31.4943397,,0.0,1762.0,104.7029,31.4945282
1755.0,104.6990806,31.4943458,,0.0,1771.0,104.6988677,31.4952719
1756.0,104.6988584,31.4943531,,0.0,1776.0,104.6988677,31.4952719
1757.0,104.6755403,31.4944328,298.0,0.0,1757.0,104.6754932,31.4943507
1758.0,104.7163584,31.494463,,0.0,1758.0,104.7163584,31.494463
1759.0,104.7490555,31.4944666,,0.0,1759.0,104.7490555,31.4944666
1760.0,104.75381,31.4945498,,0.0,1760.0,104.75381,31.4945498
1761.0,104.7280846,31.4946878,340.0,0.0,1761.0,104.7280846,31.4946878
1762.0,104.7029506,31.4947286,,0.0,1762.0,104.7029,31.4945282
1763.0,104.6996161,31.4947504,,0.0,1776.0,104.6988677,31.4952719
1764.0,104.6799746,31.4947893,,0.0,1764.0,104.6799746,31.4947893
1765.0,104.6989643,31.4948309,,0.0,1776.0,104.6988677,31.4952719
1766.0,104.6987718,31.4948545,,0.0,1776.0,104.6988677,31.4952719
1767.0,104.7058146,31.4948892,,0.0,1767.0,104.7058146,31.4948892
1768.0,104.75116,31.4948929,,0.0,1768.0,104.75116,31.4948929
1769.0,104.6983929,31.4948969,,0.0,1776.0,104.6988677,31.4952719
1770.0,104.6966255,31.4950422,248.0,0.0,1782.0,104.696518,31.4954208
1771.0,104.6990024,31.4950591,221.0,3.0,1771.0,104.6988677,31.4952719
1772.0,104.6988897,31.4950728,,0.0,1771.0,104.6988677,31.4952719
1773.0,104.6988038,31.4950843,,0.0,1771.0,104.6988677,31.4952719
1774.0,104.7547273,31.495085,,0.0,1774.0,104.7547273,31.495085
1775.0,104.7596583,31.495109,,0.0,1775.0,104.7596583,31.495109
1776.0,104.6989019,31.4954968,,0.0,1771.0,104.6988677,31.4952719
1777.0,104.6929598,31.4955565,,0.0,1781.0,104.6930253,31.4956616
1778.0,104.6018604,31.4955809,,0.0,1778.0,104.6018604,31.4955809
1779.0,104.6804121,31.4956084,,0.0,1779.0,104.6804121,31.4956084
1780.0,104.70335,31.4956617,,0.0,1780.0,104.70335,31.4956617
1781.0,104.6930909,31.4957667,198.0,0.0,1781.0,104.6930253,31.4956616
1782.0,104.6964105,31.4957993,,0.0,1782.0,104.696518,31.4954208
1783.0,104.7586668,31.4958077,,0.0,1785.0,104.7585051,31.495933
1784.0,104.7488104,31.4958763,,0.0,1784.0,104.7488104,31.4958763
1785.0,104.7583435,31.4960583,,0.0,1785.0,104.7585051,31.495933
1786.0,104.7522812,31.4960639,,0.0,1786.0,104.7522812,31.4960639
1787.0,104.7326807,31.4960895,409.0,0.0,1787.0,104.7326807,31.4960895
1788.0,104.6887113,31.4961182,285.0,3.0,1788.0,104.6886837,31.4962919
1789.0,104.6885294,31.4961422,,0.0,1788.0,104.6886837,31.4962919
1790.0,104.6887948,31.496334,,0.0,1788.0,104.6886837,31.4962919
1791.0,104.6886599,31.4963518,,0.0,1788.0,104.6886837,31.4962919
1792.0,104.76593,31.496484,,0.0,1795.0,104.766443,31.4965354
